category_id,category_name,parent_category,source_category
1882,Điện gia dụng,,diengiadung
1884,Đồ dùng nhà bếp,Điện gia dụng,diengiadung
1892,Nồi điện các loại,Đồ dùng nhà bếp,diengiadung
1893,Nồi cơm điện,Nồi điện các loại,diengiadung
1918,Nồi cơm điện tử,Nồi cơm điện,diengiadung
1919,Nồi cơm nắp gài,Nồi cơm điện,diengiadung
1920,Nồi cơm nắp rời,Nồi cơm điện,diengiadung
2271,Nồi cơm dung tích lớn,Nồi cơm điện,diengiadung
1894,Nồi áp suất điện,Nồi điện các loại,diengiadung
1895,Nồi lẩu điện,Nồi điện các loại,diengiadung
1896,"Nồi tiềm, nồi nấu cháo",Nồi điện các loại,diengiadung
1897,Nồi hấp,Nồi điện các loại,diengiadung
5313,Nồi đa năng,Nồi điện các loại,diengiadung
8123,Nồi chiên,Nồi điện các loại,diengiadung
24072,Nồi tiềm,Nồi điện các loại,diengiadung
1885,Bếp các loại,Đồ dùng nhà bếp,diengiadung
1886,Bếp hồng ngoại,Bếp các loại,diengiadung
23814,Bếp hồng ngoại đơn,Bếp hồng ngoại,diengiadung
23816,Bếp hồng ngoại đôi,Bếp hồng ngoại,diengiadung
1887,Bếp điện từ,Bếp các loại,diengiadung
23808,Bếp điện từ đơn,Bếp điện từ,diengiadung
23810,Bếp điện từ đôi,Bếp điện từ,diengiadung
2145,Bếp điện quang,Bếp các loại,diengiadung
1927,Bếp điện kết hợp,Bếp các loại,diengiadung
1928,"Bếp lẩu, nướng",Bếp các loại,diengiadung
1888,Bếp gas,Bếp các loại,diengiadung
1889,Bếp gas dương,Bếp gas,diengiadung
1890,Bếp gas âm,Bếp gas,diengiadung
5449,Bếp gas du lịch - bếp gas đơn,Bếp gas,diengiadung
23812,Phụ kiện bếp gas,Bếp gas,diengiadung
4875,"Máy hút khói, khử mùi",Đồ dùng nhà bếp,diengiadung
67135,Máy hút mùi kính vát,"Máy hút khói, khử mùi",diengiadung
67136,Máy hút mùi kính cong,"Máy hút khói, khử mùi",diengiadung
67137,Máy hút mùi đảo,"Máy hút khói, khử mùi",diengiadung
67138,Máy hút mùi áp tường,"Máy hút khói, khử mùi",diengiadung
67141,Máy hút mùi âm tủ,"Máy hút khói, khử mùi",diengiadung
2022,Lò vi sóng,Đồ dùng nhà bếp,diengiadung
2035,Lò vi sóng điện tử,Lò vi sóng,diengiadung
2036,Lò vi sóng cơ,Lò vi sóng,diengiadung
2037,Lò vi sóng có nướng,Lò vi sóng,diengiadung
4746,Lò vi sóng âm,Lò vi sóng,diengiadung
23828,Lò vi sóng hơi nước,Lò vi sóng,diengiadung
2023,Lò nướng điện,Đồ dùng nhà bếp,diengiadung
2040,Lò nướng thùng,Lò nướng điện,diengiadung
4747,Lò nướng âm tủ,Lò nướng điện,diengiadung
2041,Lò nướng thủy tinh,Lò nướng điện,diengiadung
2042,Lò nướng bánh mì sandwich,Lò nướng điện,diengiadung
2044,Vỉ nướng điện,Đồ dùng nhà bếp,diengiadung
2024,"Máy xay, máy ép",Đồ dùng nhà bếp,diengiadung
2105,Máy xay sinh tố,"Máy xay, máy ép",diengiadung
