store_id,store_name,store_rating,follower_count,source_category
1,tiki trading,4.6754,512930,diengiadung
308020,giadungnhathongminh,4.875,39,diengiadung
29960,cuckoo store,4.6289,4894,diengiadung
160749,mishio kachi official,4.503,5396,diengiadung
360957,seka official store,4.0,0,diengiadung
184067,siêu thị điện máy từ sơn,4.7479,123,diengiadung
345161,gia dụng lạc khải,4.8333,56,diengiadung
18190,điện máy sài gòn,4.8333,15,diengiadung
78619,muasam247,4.2288,536,diengiadung
138278,am mart,4.759,0,diengiadung
125683,m2p shop,4.4853,126,diengiadung
255891,điện máy vạn kim tín,4.7778,5,diengiadung
185629,điện gia dụng khánh kim,4.7589,91,diengiadung
12063,điện máy phú sĩ,4.694,2317,diengiadung
165778,tiger official flagship store,4.8142,0,diengiadung
2716,dienmaysaigon.com,4.8186,116,diengiadung
101716,gia dụng tiện ích minh ngọc,4.7156,1722,diengiadung
162514,long hưng official store,4.6906,5548,diengiadung
20256,telovietnam,4.0023,496,diengiadung
4045,nagakawagroup,4.717,283,diengiadung
33792,gia dụng nuha,4.4103,281,diengiadung
215271,cuchen official store,5.0,0,diengiadung
7880,dienmaycuongviet,4.6208,616,diengiadung
11119,gia dụng việt,4.3803,1562,diengiadung
173338,smartwatch,4.6007,485,diengiadung
195742,điện máy vymart,4.71,14688,diengiadung
347151,gian hàng gali chính hãng,5.0,0,diengiadung
4568,săn hàng rẻ,4.1426,139,diengiadung
232078,imou store,4.7708,1053,diengiadung
109240,cb smart,5.0,0,diengiadung
6095,điện thoại sang,4.1489,19,diengiadung
99996,tiross hà nội,4.4,50,diengiadung
292665,joymall official,4.7143,0,diengiadung
78755,bepnhatoi,4.7101,45,diengiadung
354109,philips home appliances official,4.75,0,diengiadung
187653,korea king official store,4.375,32,diengiadung
169426,kitacoom official,4.3922,838,diengiadung
16996,the gioi dien may shop,4.588,1355,diengiadung
218,gia khang,4.7361,5908,diengiadung
292953,điện máy tấn tài,4.7929,810,diengiadung
76535,thế giới nồi cơm điện,4.2,9,diengiadung
363198,homechef,0.0,1,diengiadung
38510,joymall locknlock chính hãng,4.6924,13047,diengiadung
118815,dreamer official,4.7475,114,diengiadung
58532,trương thiên long,4.7547,3535,diengiadung
356807,benny store việt nam,0.0,0,diengiadung
1957,bếp minh hà,4.5367,0,diengiadung
253296,bluestone official store,4.7733,696,diengiadung
307706,lyty shop,5.0,0,diengiadung
203158,bếp tôi,4.7321,378,diengiadung
138795,hungvuongjsc,4.4364,113,diengiadung
362770,casalux store,0.0,1,diengiadung
34716,giaphucstore,4.5924,1044,diengiadung
247324,cửa hàng phương phương,3.858,0,diengiadung
236185,minhlam store,4.165,1713,diengiadung
297289,tổng kho gia dụng 82,4.1818,19,diengiadung
88331,lath shop,4.7644,14743,diengiadung
261657,giadung 01 store,3.9984,74,diengiadung
69337,home star store,4.3274,302,diengiadung
338581,gia dụng bigsun,0.0,1,diengiadung
257599,kipor store,4.8352,619,diengiadung
223710,siêu thị hương giang,0.0,0,diengiadung
346472,hasuka official store,0.0,2,diengiadung
65797,greenbox,4.5455,0,diengiadung
213616,pengo official,5.0,12,diengiadung
337543,mh shop online,5.0,0,diengiadung
5815,gia dụng bình minh,0.0,0,diengiadung
133145,điện máy cho mọi nhà,4.6356,0,diengiadung
236615,gia dụng tiêu dùng,4.25,0,diengiadung
134974,lebenlang,4.7082,13107,diengiadung
212054,elecvina,4.5185,59,diengiadung
141439,hp group,4.0556,48,diengiadung
187775,tuấn yến hcm,4.6634,2332,diengiadung
204276,tiger queen official store,5.0,13,diengiadung
190592,điện máy hoàng kim sg,4.5185,33,diengiadung
235010,điện gia dụng đạt tường chính hãng,4.0,0,diengiadung
207730,điện máy nhà hàng công nghiệp vinsuncom,4.6667,45,diengiadung
67624,akia smarthome store,4.6798,1426,diengiadung
389,đại phát tài,4.2695,545,diengiadung
134678,smarthome29,4.277,4081,diengiadung
143120,aha bếp,4.4789,68,diengiadung
207775,jp market 24h,4.6209,253,diengiadung
242964,giadungbn,4.6834,165,diengiadung
9652,crep protect vn,4.5649,1878,diengiadung
280906,germania,4.6,32,diengiadung
293565,nhà phân phối hera house,0.0,1,diengiadung
324274,comet official store,4.6047,0,diengiadung
16654,điện gia dụng saigon,4.5933,0,diengiadung
351293,điệnmáyphúchưng,0.0,0,diengiadung
180208,life360 official store,4.6758,95,diengiadung
203034,gia dụng trí vũ,4.3346,547,diengiadung
96269,đồ sơ sinh mẹ và bé chip,4.1148,789,diengiadung
324782,an minh store,4.3333,0,diengiadung
110384,gia dung thong minh anh vu,3.5744,30,diengiadung
190480,kuvings official store,4.8462,174,diengiadung
7032,công ty tnhh mtv ngô long ân,4.3725,0,diengiadung
762,nhacungcap,4.4405,0,diengiadung
16709,đại phát điện gia dụng,0.0,0,diengiadung
287299,d danido homie shop,4.7028,36,diengiadung
34473,danido store,4.5177,3529,diengiadung
179711,điện máy htg,4.646,0,diengiadung
115692,tahawa nhật bản,4.2727,19,diengiadung
183862,hải kim long,4.5263,17,diengiadung
317057,ipom store,0.0,0,diengiadung
3997,babymart,4.4998,486,diengiadung
357781,russell hobbs official store,4.0,10,diengiadung
132610,gia dụng mai trang,4.4242,259,diengiadung
58892,gia dụng khánh ngọc,4.4093,0,diengiadung
91943,điện máy tân thành phát,4.5333,0,diengiadung
486,gia an,4.0757,15,diengiadung
108828,tiện ích 1708,4.4106,2234,diengiadung
115414,gold,4.394,848,diengiadung
106295,chim sẻ đi nắng,4.1503,213,diengiadung
11176,công ty phong tiến,4.461,30,diengiadung
208147,siêu thị điện máy gia dụng,4.3526,0,diengiadung
177099,hàng gia dụng châu âu,4.8824,10,diengiadung
357113,hateco home appliances,0.0,1,diengiadung
157145,gia thành decor,4.668,252,diengiadung
18930,frico,0.0,0,diengiadung
131457,khải minh store,4.503,372,diengiadung
238957,unie official store,4.586,1607,diengiadung
195102,gia dụng đạt tường,3.5,9,diengiadung
19944,shop thái nhật hàn,4.4438,812,diengiadung
355771,delonghi official store,4.9,122,diengiadung
11982,viaicom,4.3267,19,diengiadung
224679,td electrical supermarket,4.7331,476,diengiadung
279631,donhapkhau,4.56,0,diengiadung
19548,detico,4.4056,309,diengiadung
119932,smartlife247,4.4862,0,diengiadung
107913,just for you,3.9375,5,diengiadung
40615,cobi home,4.6257,186,diengiadung
309071,luxury furniture 1,5.0,1,diengiadung
237038,máy ép chậm máy xay sinh tố châu âu,4.8333,38,diengiadung
229959,cửa hàng bếp hq,4.0,6,diengiadung
81199,hàng tiêu dùng nhập khẩu shop,4.493,635,diengiadung
130141,bếp sco,0.0,0,diengiadung
131818,siêu thị mẹ gà,0.0,0,diengiadung
123800,mitomo electronic,4.6003,0,diengiadung
290808,gweich official store,0.0,0,diengiadung
99039,ehouse,4.5663,0,diengiadung
102474,smart love,4.6063,14,diengiadung
20304,eie mart,5.0,1,diengiadung
107895,archer official store,0.0,5,diengiadung
166157,hh furniture,4.386,33,diengiadung
56595,abg machine,4.0996,520,diengiadung
292952,gokitchen store,5.0,3,diengiadung
2672,yakyo việt nam,4.2174,19,diengiadung
333510,junger official,4.5556,42,diengiadung
